iter	Logloss
0	0.6916878756
1	0.690530883
2	0.6892026938
3	0.6880084946
4	0.686592433
5	0.6849253863
6	0.6836218562
7	0.6820346291
8	0.6805958653
9	0.6794004773
10	0.6780673354
11	0.6764265116
12	0.6746660876
13	0.6731792471
14	0.6722435766
15	0.6711831274
16	0.6696963906
17	0.668072721
18	0.6668071551
19	0.6654333542
20	0.6640418251
21	0.6626690141
22	0.6615440154
23	0.6604276855
24	0.6596258985
25	0.658687461
26	0.6577969351
27	0.6562989713
28	0.6557106309
29	0.6548716412
30	0.653734042
31	0.6525993536
32	0.651591069
33	0.6507670987
34	0.6493573347
35	0.6479624813
36	0.6469787179
37	0.6453799607
38	0.6441094913
39	0.64304836
40	0.6418198933
41	0.6407359147
42	0.6397072478
43	0.6386145382
44	0.6375595866
45	0.6363463183
46	0.6353471237
47	0.6340105198
48	0.6324782015
49	0.6313305884
50	0.6301532736
51	0.6290342934
52	0.6278714392
53	0.6267066296
54	0.6252944619
55	0.6244584127
56	0.6232461572
57	0.6217526631
58	0.621044444
59	0.6203458756
60	0.6190778153
61	0.6178308813
62	0.6165581405
63	0.6151275657
64	0.6135994506
65	0.6121437481
66	0.6112535644
67	0.6103516845
68	0.6093295038
69	0.6081293847
70	0.6066661611
71	0.6063897203
72	0.6053628886
73	0.6042931905
74	0.6034394082
75	0.6020304935
76	0.6017501545
77	0.6005273661
78	0.5990941243
79	0.5979459661
80	0.5969909213
81	0.5962183946
82	0.5951278572
83	0.5939001186
84	0.5928992955
85	0.5923825945
86	0.5911129686
87	0.5901812835
88	0.5887307522
89	0.5878206395
90	0.5863517182
91	0.5850946787
92	0.5841635159
93	0.5828202777
94	0.5817845227
95	0.5808111598
96	0.5792424347
97	0.578137316
98	0.577187849
99	0.5762666011
100	0.5750768736
101	0.5740015492
102	0.5731112686
103	0.5719788897
104	0.5710691053
105	0.5702560484
106	0.5692569065
107	0.5683684862
108	0.5675736895
109	0.5667199528
110	0.5656351423
111	0.5645224088
112	0.5637373298
113	0.5631145129
114	0.5622376633
115	0.5611264959
116	0.5597145578
117	0.5589580262
118	0.557958917
119	0.556870701
120	0.5559423673
121	0.5550394496
